day,w_Ret,w_Corp,w_Leisure,w_OTA,w_Discount,w_Promo,w_Group,w_Consortia,w_Misc
0,0,2,3,0,0,1,2,0,0
1,0,0,0,0,0,0,0,0,0
2,1,0,0,1,2,1,0,1,1
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1
7,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0
12,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1
14,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0
16,0,0,2,2,2,2,0,0,0
17,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0
19,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1
21,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0
26,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1
28,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
33,1,1,1,1,1,1,1,1,1
34,1,1,1,1,1,1,1,1,1
35,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0
40,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,1,1
42,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0
47,1,1,1,1,1,1,1,1,1
48,1,1,1,1,1,1,1,1,1
49,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0
51,3,0,3,3,4,2,1,1,1
52,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0
54,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1
56,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0
61,1,1,1,1,1,1,1,1,1
62,1,1,1,1,1,1,1,1,1
63,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0
68,1,1,1,1,1,1,1,1,1
69,1,1,1,1,1,1,1,1,1
70,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0
75,1,1,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1,1,1
77,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0
82,1,1,1,1,1,1,1,1,1
83,1,1,1,1,1,1,1,1,1
84,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0
89,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,1
91,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0
96,1,1,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1,1,1
98,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0
103,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1
105,0,0,0,0,0,0,0,0,0
106,2,1,0,2,1,1,0,0,1
107,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0
110,1,1,1,1,1,1,1,1,1
111,1,1,1,1,1,1,1,1,1
112,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0
117,1,1,1,1,1,1,1,1,1
118,1,1,1,1,1,1,1,1,1
119,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0
124,1,1,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1,1,1
126,0,0,0,0,0,0,0,0,0
127,1,0,3,2,0,0,2,0,0
128,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0
131,1,1,1,1,1,1,1,1,1
132,1,1,1,1,1,1,1,1,1
133,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0
138,1,1,1,1,1,1,1,1,1
139,1,1,1,1,1,1,1,1,1
140,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0
145,1,1,1,1,1,1,1,1,1
146,1,1,1,1,1,1,1,1,1
147,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0
149,2,0,1,1,1,1,0,0,0
150,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0
152,1,1,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1,1,1
154,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0
159,1,1,1,1,1,1,1,1,1
160,1,1,1,1,1,1,1,1,1
161,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0
166,1,1,1,1,1,1,1,1,1
167,1,1,1,1,1,1,1,1,1
168,0,0,0,0,0,0,0,0,0
169,4,3,2,3,3,2,4,0,2
170,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0
173,1,1,1,1,1,1,1,1,1
174,1,1,1,1,1,1,1,1,1
175,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0
180,1,1,1,1,1,1,1,1,1
181,1,1,1,1,1,1,1,1,1
182,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0
184,2,2,1,1,0,1,1,0,1
185,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0
187,1,1,1,1,1,1,1,1,1
188,1,1,1,1,1,1,1,1,1
189,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0
194,1,1,1,1,1,1,1,1,1
195,1,1,1,1,1,1,1,1,1
196,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0
201,1,1,1,1,1,1,1,1,1
202,1,1,1,1,1,1,1,1,1
203,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0
208,1,1,1,1,1,1,1,1,1
209,1,1,1,1,1,1,1,1,1
210,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0
215,1,1,1,1,1,1,1,1,1
216,1,1,1,1,1,1,1,1,1
217,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0
222,1,1,1,1,1,1,1,1,1
223,1,1,1,1,1,1,1,1,1
224,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0
229,1,1,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1,1,1
231,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0
236,1,1,1,1,1,1,1,1,1
237,1,1,1,1,1,1,1,1,1
238,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0
243,1,1,1,1,1,1,1,1,1
244,1,1,1,1,1,1,1,1,1
245,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0
247,0,0,0,2,3,0,0,0,0
248,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0
250,1,1,1,1,1,1,1,1,1
251,1,1,1,1,1,1,1,1,1
252,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0
257,1,1,1,1,1,1,1,1,1
258,1,1,1,1,1,1,1,1,1
259,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0
264,1,1,1,1,1,1,1,1,1
265,1,1,1,1,1,1,1,1,1
266,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0
271,1,1,1,1,1,1,1,1,1
272,1,1,1,1,1,1,1,1,1
273,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0
278,1,1,1,1,1,1,1,1,1
279,1,1,1,1,1,1,1,1,1
280,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0
282,0,0,1,1,0,0,0,1,0
283,0,0,0,0,0,0,0,0,0
284,0,0,0,0,0,0,0,0,0
285,1,1,1,1,1,1,1,1,1
286,1,1,1,1,1,1,1,1,1
287,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0
292,1,1,1,1,1,1,1,1,1
293,1,1,1,1,1,1,1,1,1
294,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0
299,1,1,1,1,1,1,1,1,1
300,1,1,1,1,1,1,1,1,1
301,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0
303,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0
306,1,1,1,1,1,1,1,1,1
307,1,1,1,1,1,1,1,1,1
308,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0
313,1,1,1,1,1,1,1,1,1
314,2,3,4,1,4,2,1,2,1
315,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0,0
320,1,1,1,1,1,1,1,1,1
321,1,1,1,1,1,1,1,1,1
322,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0
327,2,1,1,4,4,4,1,1,1
328,1,1,1,1,1,1,1,1,1
329,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0
334,1,1,1,1,1,1,1,1,1
335,1,1,1,1,1,1,1,1,1
336,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0
341,1,1,1,1,1,1,1,1,1
342,1,1,1,1,1,1,1,1,1
343,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0
348,1,1,1,1,1,1,1,1,1
349,1,1,1,1,1,1,1,1,1
350,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0
355,1,1,1,1,1,1,1,1,1
356,1,1,1,1,1,1,1,1,1
357,0,0,0,0,0,0,0,0,0
358,4,5,6,4,0,0,0,4,0
359,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0
361,0,0,0,0,0,0,0,0,0
362,1,1,1,1,1,1,1,1,1
363,1,1,1,1,1,1,1,1,1
364,0,0,0,0,0,0,0,0,0
